title,category,link,date,companyCode
FinancialStatement-2021-Tahunan-APLI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/APLI/FinancialStatement-2021-Tahunan-APLI.pdf,2022-04-28,APLI
FinancialStatement-2021-Tahunan-APLN.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/APLN/FinancialStatement-2021-Tahunan-APLN.pdf,2022-04-05,APLN
FinancialStatement-2021-Tahunan-ARCI.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ARCI/FinancialStatement-2021-Tahunan-ARCI.pdf,2022-03-30,ARCI
FinancialStatement-2021-Tahunan-ARGO.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ARGO/FinancialStatement-2021-Tahunan-ARGO.pdf,2022-05-09,ARGO
FinancialStatement-2021-Tahunan-ARII.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ARII/FinancialStatement-2021-Tahunan-ARII.pdf,2022-05-09,ARII
FinancialStatement-2021-Tahunan-ARKA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ARKA/FinancialStatement-2021-Tahunan-ARKA.pdf,2022-04-29,ARKA
FinancialStatement-2021-Tahunan-ARKO.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ARKO/FinancialStatement-2021-Tahunan-ARKO.pdf,2022-07-22,ARKO
FinancialStatement-2021-Tahunan-ASSA.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ASSA/FinancialStatement-2021-Tahunan-ASSA.pdf,2022-04-13,ASSA
FinancialStatement-2021-Tahunan-ATAP.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ATAP/FinancialStatement-2021-Tahunan-ATAP.pdf,2022-04-06,ATAP
FinancialStatement-2021-Tahunan-ATIC.pdf,Laporan Keuangan,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202021/Audit/ATIC/FinancialStatement-2021-Tahunan-ATIC.pdf,2022-05-27,ATIC
